2026-08-29 15:07:13,417 | 04_permutation_test | INFO | Permutation 59/100: AUC=0.5073 (7.5s)
2026-08-29 15:07:20,579 | 04_permutation_test | INFO | Permutation 60/100: AUC=0.5500 (7.2s)
2026-08-29 15:07:27,796 | 04_permutation_test | INFO | Permutation 61/100: AUC=0.5399 (7.2s)
2026-08-29 15:07:35,425 | 04_permutation_test | INFO | Permutation 62/100: AUC=0.5346 (7.6s)
2026-08-29 15:07:42,630 | 04_permutation_test | INFO | Permutation 63/100: AUC=0.4026 (7.2s)
2026-08-29 15:07:50,365 | 04_permutation_test | INFO | Permutation 64/100: AUC=0.4745 (7.7s)
2026-08-29 15:07:57,771 | 04_permutation_test | INFO | Permutation 65/100: AUC=0.5672 (7.4s)
2026-08-29 15:08:05,668 | 04_permutation_test | INFO | Permutation 66/100: AUC=0.5666 (7.9s)
2026-08-29 15:08:14,336 | 04_permutation_test | INFO | Permutation 67/100: AUC=0.4815 (8.7s)
2026-08-29 15:08:21,906 | 04_permutation_test | INFO | Permutation 68/100: AUC=0.4271 (7.6s)
2026-08-29 15:08:29,292 | 04_permutation_test | INFO | Permutation 69/100: AUC=0.4731 (7.4s)
2026-08-29 15:08:36,940 | 04_permutation_test | INFO | Permutation 70/100: AUC=0.5731 (7.6s)
2026-08-29 15:08:44,299 | 04_permutation_test | INFO | Permutation 71/100: AUC=0.4029 (7.4s)
2026-08-29 15:08:51,564 | 04_permutation_test | INFO | Permutation 72/100: AUC=0.4227 (7.3s)
2026-08-29 15:08:58,982 | 04_permutation_test | INFO | Permutation 73/100: AUC=0.5187 (7.4s)
2026-08-29 15:09:06,692 | 04_permutation_test | INFO | Permutation 74/100: AUC=0.3634 (7.7s)
2026-08-29 15:09:13,618 | 04_permutation_test | INFO | Permutation 75/100: AUC=0.4600 (6.9s)
2026-08-29 15:09:20,821 | 04_permutation_test | INFO | Permutation 76/100: AUC=0.5301 (7.2s)
2026-08-29 15:09:28,457 | 04_permutation_test | INFO | Permutation 77/100: AUC=0.3911 (7.6s)
2026-08-29 15:09:36,067 | 04_permutation_test | INFO | Permutation 78/100: AUC=0.5466 (7.6s)
2026-08-29 15:09:43,339 | 04_permutation_test | INFO | Permutation 79/100: AUC=0.5277 (7.3s)
2026-08-29 15:09:50,620 | 04_permutation_test | INFO | Permutation 80/100: AUC=0.5356 (7.3s)
2026-08-29 15:09:57,963 | 04_permutation_test | INFO | Permutation 81/100: AUC=0.4861 (7.3s)
2026-08-29 15:10:05,571 | 04_permutation_test | INFO | Permutation 82/100: AUC=0.5298 (7.6s)
2026-08-29 15:10:12,808 | 04_permutation_test | INFO | Permutation 83/100: AUC=0.5124 (7.2s)
2026-08-29 15:10:20,367 | 04_permutation_test | INFO | Permutation 84/100: AUC=0.5364 (7.6s)
2026-08-29 15:10:27,856 | 04_permutation_test | INFO | Permutation 85/100: AUC=0.5140 (7.5s)
2026-08-29 15:10:36,242 | 04_permutation_test | INFO | Permutation 86/100: AUC=0.5327 (8.4s)
2026-08-29 15:10:43,536 | 04_permutation_test | INFO | Permutation 87/100: AUC=0.5347 (7.3s)
